miscellanea miscellaneum
cognoscenti cognoscente
children   child
brethren   brother
meninges   meninx
motives    motive
mafiosi    mafioso
people     person
gasses     gas
reeves     reeve
loves      love
geese      goose
teeth      tooth
hedra      hedron
taxes      tax
hexes      hex
bases      basis
apses      apse
ives       ife
mice       mouse
feet       foot
rata       ratum
mata       ma
mata       matum
zzes       z
illi       illus
ices       ix
ices       ex
pora       pus
mena       menon
mora       moron
ases       ase
sses       ss
ches       ch
cies       cy
aux        au
men        man
era        us
nae        nus
nea        neum
xes        xis
ies        ie
ies        y
ses        sis
xes        x
ves        f
bus        bi
ae         a
ei         ion
es         e
es         _
en         _
ia         ion
ia         ium
ra         rum
im         _
i          us
a          um
s          _
